身份證字號,名稱,屆別,議員,選出區域
A399274755, 臺灣省臨時省議會,第一屆,陳漢周,基隆市
G399741197, 臺灣省臨時省議會,第一屆,浦陸佩玉,臺北市
D399078461, 臺灣省臨時省議會,第一屆,陳逢源,臺北市
G397129977, 臺灣省臨時省議會,第一屆,黃成金,臺北市
F399293757, 臺灣省臨時省議會,第一屆,王宋瓊英,臺北縣
H399225240, 臺灣省臨時省議會,第一屆,白金泉,臺北縣
B392762833, 臺灣省臨時省議會,第一屆,李建和,臺北縣
B399510515, 臺灣省臨時省議會,第一屆,黃朝琴,臺南縣
F393098274, 臺灣省臨時省議會,第一屆,賴森林,臺北縣
F395266496, 臺灣省臨時省議會,第一屆,張芳燮,桃園縣
H392706057, 臺灣省臨時省議會,第一屆,陳長壽,桃園縣
H391994284, 臺灣省臨時省議會,第一屆,姜阿新,新竹縣
B395922966, 臺灣省臨時省議會,第一屆,許金德,新竹縣
H394767850, 臺灣省臨時省議會,第一屆,黃運金,苗栗縣
G393113115, 臺灣省臨時省議會,第一屆,劉闊才,苗栗縣
E399933808, 臺灣省臨時省議會,第一屆,林湯盤,臺中市
D398245299, 臺灣省臨時省議會,第一屆,林雲龍,臺中縣
D397441495, 臺灣省臨時省議會,第一屆,陳水潭,臺中縣
C396056651, 臺灣省臨時省議會,第一屆,蔡鴻文,臺中縣
C391552012, 臺灣省臨時省議會,第一屆,呂世明,彰化縣
A391468140, 臺灣省臨時省議會,第一屆,周天啟,彰化縣
H398472772, 臺灣省臨時省議會,第一屆,林生財,彰化縣
D397629166, 臺灣省臨時省議會,第一屆,游蘇鴦,彰化縣
C391916212, 臺灣省臨時省議會,第一屆,蕭敦仁,彰化縣
C391581757, 臺灣省臨時省議會,第一屆,陳　萬,南投縣
G391673147, 臺灣省臨時省議會,第一屆,劉金約,南投縣
C391532012, 臺灣省臨時省議會,第一屆,李茂炎,雲林縣
H398687746, 臺灣省臨時省議會,第一屆,李萬居,雲林縣
C397015449, 臺灣省臨時省議會,第一屆,林頂立,臺北市
